group_id,uid,id,created,title,match_type,team_size,duration,overtime,season,season_type,date,start_time,end_time,platform,platform_id,name,car_id,car_name,team_name,game_outcome,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_no_possession,avg_distance_to_ball_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_behind_ball,percent_closest_to_ball,percent_defensive_half,percent_defensive_third,percent_farthest_from_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_neutral_third,percent_offensive_half,percent_offensive_third,time_behind_ball,time_closest_to_ball,time_defensive_half,time_defensive_third,time_farthest_from_ball,time_infront_ball,time_most_back,time_most_forward,time_neutral_third,time_offensive_half,time_offensive_third,inflicted,taken,team_a,team_b
group53-54qeks9g3d,1024bcc8-5a7a-4b87-b178-667d472ec0a4,e9db422e-8d5a-48a0-aaab-9413c4b8dd7d,2025-04-06T01:58:52.552606Z,2025-04-05.18.58 CoolNerdGames Private Loss,Private,3,357,True,18,free2play,2025-04-05T18:58:52-07:00,0.0,357.86597,epic,7fa3b5b7cbfe4050b784ffea0aa111ba,Beanzs2K,4284,Fennec,TEAM 1,W,3,6,2,2,2,0,546,True,66.666664,385,387.1936,46.24,2193,446,1509,369,684,77,17,4,62,7,204,30,169,43.74,12.871142,24.89,7.3242507,128.6,93.79,47.58,79.52,36.796474,26.836245,13.614122,22.75315,1422,472707,31.34,123.36,199.84,208.68,120.79,25.07,9.17,76,0.12,61.826088,56.365993,34.79438,8.8396225,58.859367,34.069496,7.071134,3212,3220,3207,4022,0,83.025894,30.603539,81.748695,65.20378,38.7841,16.974108,49.936733,22.15814,24.385841,18.251305,10.410379,294.36,104.0,289.84,231.18,131.8,60.18,169.7,75.3,86.46,64.71,36.91,1,1,"Beanzs2K, Firefi6ht_RL, Shuk""!","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,04f0a700-40cc-4851-990e-ccdff12021c6,e9db422e-8d5a-48a0-aaab-9413c4b8dd7d,2025-04-06T01:58:52.552606Z,2025-04-05.18.58 CoolNerdGames Private Loss,Private,3,357,True,18,free2play,2025-04-05T18:58:52-07:00,0.0,357.86597,epic,ebbb47803eee46db851a8e71e2f2de3c,Firefi6ht_RL,4284,Fennec,TEAM 1,W,2,6,1,2,0,1,324,False,50.0,428,452.69696,59.67,2564,639,2175,543,389,96,28,6,34,8,643,56,429,52.84,15.548951,52.67,15.498926,106.27,61.3,42.75,132.05,31.039518,17.904606,12.486491,38.569386,1558,521490,56.71,141.74,159.08,206.58,127.46,23.49,6.62,57,0.12,67.73913,44.494167,39.64423,15.861606,57.779766,35.650154,6.570078,2859,3000,2637,3844,0,64.24076,38.460407,68.005486,47.408607,27.337198,35.759235,25.15964,42.609543,33.74822,31.994518,18.843176,229.68,130.7,243.14,169.5,92.9,127.85,85.5,144.8,120.66,114.39,67.37,0,0,"Beanzs2K, Firefi6ht_RL, Shuk""!","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,762407e1-9f31-4947-9c55-e40198574e99,e9db422e-8d5a-48a0-aaab-9413c4b8dd7d,2025-04-06T01:58:52.552606Z,2025-04-05.18.58 CoolNerdGames Private Loss,Private,3,357,True,18,free2play,2025-04-05T18:58:52-07:00,0.0,357.86597,steam,76561198093681929,"Shuk""!",4284,Fennec,TEAM 1,W,2,6,0,2,0,1,206,False,0.0,428,414.03055,60.9,2345,668,1832,490,513,178,21,6,49,17,318,124,287,42.58,12.529795,52.86,15.554837,84.91,59.21,58.47,130.46,25.49467,17.778112,17.555923,39.1713,1551,519206,33.03,173.62,150.71,198.06,146.24,13.06,5.78,66,0.09,67.434784,42.17316,48.584057,9.24278,55.423103,40.922325,3.6545782,3050,3179,2888,3758,2,68.66465,29.897303,63.68648,47.65223,33.693317,31.335346,24.65939,34.134716,31.746698,36.313522,20.601076,245.38,101.6,227.59,170.29,114.5,111.98,83.8,116.0,113.45,129.77,73.62,0,0,"Beanzs2K, Firefi6ht_RL, Shuk""!","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,77fc8197-1dd7-49b7-ba81-c4ad326f5c82,e9db422e-8d5a-48a0-aaab-9413c4b8dd7d,2025-04-06T01:58:52.552606Z,2025-04-05.18.58 CoolNerdGames Private Loss,Private,3,357,True,18,free2play,2025-04-05T18:58:52-07:00,0.0,357.86597,steam,76561197980726409,CoolNerdGames,4284,Fennec,TEAM 2,L,4,7,2,3,0,0,388,False,50.0,341,338.81647,47.52,1919,497,985,188,934,309,14,4,79,26,300,174,30,33.72,9.922608,14.76,4.3433485,127.95,75.26,72.65,70.63,36.927475,21.720686,20.967417,20.384426,1522,509692,41.86,139.63,176.12,226.9,119.51,11.19,6.54,79,0.08,66.17391,49.249184,39.04533,11.70549,63.450783,33.42002,3.1291945,3166,3303,3033,3720,2,67.62304,33.163643,57.486015,42.544743,33.605038,32.376957,27.602037,37.60704,33.16275,42.51398,24.292505,241.82,112.7,205.57,152.14,114.2,115.78,93.8,127.8,118.59,152.03,86.87,0,0,"Beanzs2K, Firefi6ht_RL, Shuk""!","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,5a2b84fe-bb0e-4b4e-b096-95f1cd39dd32,e9db422e-8d5a-48a0-aaab-9413c4b8dd7d,2025-04-06T01:58:52.552606Z,2025-04-05.18.58 CoolNerdGames Private Loss,Private,3,357,True,18,free2play,2025-04-05T18:58:52-07:00,0.0,357.86597,epic,581d99668a69477ba0d52f19c49033ae,SCATHEW XD,23,Octane,TEAM 2,L,1,7,0,3,3,0,372,False,0.0,380,398.66995,46.18,2258,674,1382,474,876,200,16,5,80,17,264,27,209,44.67,13.144808,51.8,15.242916,124.73,68.67,52.03,98.45,36.271374,19.969175,15.130278,28.629173,1480,490392,44.95,135.45,174.09,222.77,114.24,17.47,6.04,60,0.1,64.347824,49.10999,38.209824,12.680189,62.844166,32.227486,4.928345,3264,3034,3549,3704,1,73.9534,28.808523,67.492455,46.65839,38.960655,26.046604,41.667896,30.515259,35.819675,32.50755,17.521935,262.15,97.9,239.2,165.39,132.4,92.33,141.6,103.7,126.97,115.21,62.11,1,1,"Beanzs2K, Firefi6ht_RL, Shuk""!","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,64b03430-4691-47ae-b100-a752dd42af31,e9db422e-8d5a-48a0-aaab-9413c4b8dd7d,2025-04-06T01:58:52.552606Z,2025-04-05.18.58 CoolNerdGames Private Loss,Private,3,357,True,18,free2play,2025-04-05T18:58:52-07:00,0.0,357.86597,epic,daceee6f910f4d6a863fc5a8dc3b18d8,AbSpectre,23,Octane,TEAM 2,L,1,7,0,3,1,2,327,False,0.0,307,326.98703,59.23,1852,362,1271,172,581,190,18,2,53,18,547,33,53,14.46,4.255069,47.89,14.09234,79.65,64.27,82.67,125.44,22.625912,18.256966,23.483793,35.633327,1512,505478,27.26,159.75,170.45,236.74,111.44,9.29,3.97,36,0.11,65.73913,47.683655,44.69031,7.6260276,66.22654,31.174644,2.5988195,2763,2738,2754,3630,0,74.42023,36.841953,58.715416,42.551823,27.307772,25.57977,30.544685,30.691818,35.345623,41.284584,22.102554,266.03,125.2,209.89,152.11,92.8,91.44,103.8,104.3,126.35,147.58,79.01,0,0,"Beanzs2K, Firefi6ht_RL, Shuk""!","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,08a5e467-66c6-4fba-9eb8-ca2a40fbef5e,04367fa2-e372-464d-97e1-bdf48cb4764b,2025-04-06T01:51:24.717095Z,2025-04-05.18.51 CoolNerdGames Private Loss,Private,3,378,False,18,free2play,2025-04-05T18:51:24-07:00,0.0,378.70905,epic,7fa3b5b7cbfe4050b784ffea0aa111ba,Beanzs2K,4284,Fennec,TEAM 1,W,5,8,3,2,2,2,696,True,60.0,361,355.4001,48.79,2083,394,1476,299,607,95,17,3,54,9,236,0,217,36.75,10.450435,24.03,6.833305,104.95,112.22,68.63,79.0,28.76919,30.762062,18.813047,21.655703,1496,515719,49.82,134.42,194.01,244.57,117.64,16.05,6.36,68,0.09,65.04348,51.291473,35.537342,13.171183,64.656586,31.1003,4.2431126,3390,3569,3285,3772,1,85.015594,30.341806,72.09327,57.145878,34.52198,14.984403,44.076664,22.46488,26.328451,27.90673,16.52567,321.58,106.7,272.7,216.16,121.4,56.68,155.0,79.0,99.59,105.56,62.51,0,0,"Beanzs2K, Shuk""!, Firefi6ht_RL","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,9e31de5d-6502-43f3-8a7a-39a042b6645b,04367fa2-e372-464d-97e1-bdf48cb4764b,2025-04-06T01:51:24.717095Z,2025-04-05.18.51 CoolNerdGames Private Loss,Private,3,378,False,18,free2play,2025-04-05T18:51:24-07:00,0.0,378.70905,steam,76561198093681929,"Shuk""!",4284,Fennec,TEAM 1,W,6,8,2,2,2,1,493,False,33.333332,428,460.67224,51.15,2700,630,2043,393,657,237,23,4,60,22,285,21,281,66.13,18.805094,28.54,8.115793,191.11,43.04,49.46,82.55,52.193035,11.754425,13.507757,22.54479,1555,537134,47.97,163.34,166.98,209.45,145.88,22.96,6.75,79,0.09,67.608696,44.14074,43.178513,12.680747,55.367573,38.563007,6.0694175,3043,3238,2890,3809,1,74.89227,33.61201,60.350525,42.9051,27.583462,25.107721,24.739805,41.176136,35.553795,39.649475,21.541105,283.31,118.2,228.3,162.31,97.0,94.98,87.0,144.8,134.5,149.99,81.49,1,0,"Beanzs2K, Shuk""!, Firefi6ht_RL","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,aed5080d-4b35-4175-954f-d3180b0e54e5,04367fa2-e372-464d-97e1-bdf48cb4764b,2025-04-06T01:51:24.717095Z,2025-04-05.18.51 CoolNerdGames Private Loss,Private,3,378,False,18,free2play,2025-04-05T18:51:24-07:00,0.0,378.70905,epic,ebbb47803eee46db851a8e71e2f2de3c,Firefi6ht_RL,4284,Fennec,TEAM 1,W,1,8,1,2,2,1,427,False,100.0,415,443.7809,50.17,2601,100,1971,28,630,72,24,1,60,6,375,71,316,49.12,13.968038,61.74,17.55673,134.9,70.37,50.97,102.31,37.62376,19.626274,14.215591,28.534376,1582,544913,43.97,169.2,165.05,229.93,129.92,18.38,5.68,67,0.08,68.78261,43.638622,44.735867,11.625509,60.791058,34.349472,4.859477,3499,3515,3532,3888,0,75.13154,35.17602,75.24786,50.502354,36.7969,24.868465,29.972132,35.574135,38.27931,24.752136,11.218339,284.17,123.7,284.61,191.01,129.4,94.06,105.4,125.1,144.78,93.62,42.43,1,0,"Beanzs2K, Shuk""!, Firefi6ht_RL","CoolNerdGames, SCATHEW XD, AbSpectre"
group53-54qeks9g3d,76552be6-3a00-4237-b4f3-003a6ca21d7d,04367fa2-e372-464d-97e1-bdf48cb4764b,2025-04-06T01:51:24.717095Z,2025-04-05.18.51 CoolNerdGames Private Loss,Private,3,378,False,18,free2play,2025-04-05T18:51:24-07:00,0.0,378.70905,steam,76561197980726409,CoolNerdGames,4284,Fennec,TEAM 2,L,2,12,1,6,0,1,318,False,50.0,345,339.02063,48.72,1987,341,1340,121,647,220,19,2,59,19,462,78,69,16.46,4.680657,42.31,12.0315075,116.01,92.46,53.32,89.87,32.98925,26.29244,15.162373,25.555935,1525,517872,46.1,150.73,176.75,217.94,132.94,22.7,6.75,80,0.08,66.304344,47.312492,40.34745,12.340061,58.338238,35.585415,6.076342,2791,2720,2892,3628,1,69.34176,38.73059,66.87724,49.629253,28.976852,30.658243,30.31337,35.744755,31.892282,33.12276,18.478464,259.04,136.2,249.84,185.4,101.9,114.53,106.6,125.7,119.14,123.74,69.03,0,1,"Beanzs2K, Shuk""!, Firefi6ht_RL","CoolNerdGames, SCATHEW XD, AbSpectre"
