player,opponent,games_against,wins_against,win_rate_against
A Simple Femgirl,AbSpectre,4,1,0.25
A Simple Femgirl,Car-.-,18,6,0.3333333333333333
A Simple Femgirl,Chow_Mitch,5,2,0.4
A Simple Femgirl,Creig1013,5,2,0.4
A Simple Femgirl,EricTheHispanic,4,1,0.25
A Simple Femgirl,Fastmadcow,4,1,0.25
A Simple Femgirl,Firefi6ht_RL,9,3,0.3333333333333333
A Simple Femgirl,Geo,4,1,0.25
A Simple Femgirl,Groovy,5,2,0.4
A Simple Femgirl,MtnDru,5,2,0.4
A Simple Femgirl,No_Walt,4,1,0.25
A Simple Femgirl,Recktals,5,2,0.4
A Simple Femgirl,"Shuk""!",5,2,0.4
A Simple Femgirl,SpicyShinobi,4,1,0.25
A Simple Femgirl,Tylanz,9,3,0.3333333333333333
A Simple Femgirl,Yoky,19,7,0.3684210526315789
A Simple Femgirl,bro.ro711,9,3,0.3333333333333333
A Simple Femgirl,dray (learning controller,5,2,0.4
AbSpectre,A Simple Femgirl,4,3,0.75
AbSpectre,Ay_Ant,4,1,0.25
AbSpectre,Beanzs2K,13,6,0.46153846153846156
AbSpectre,Boydardi,8,6,0.75
AbSpectre,CoolNerdGames,7,4,0.5714285714285714
AbSpectre,EricTheHispanic,3,0,0.0
AbSpectre,Firefi6ht_RL,9,3,0.3333333333333333
AbSpectre,FriendlyFennec,4,1,0.25
AbSpectre,FuzzoL,4,3,0.75
AbSpectre,Groovy,4,1,0.25
AbSpectre,Memento Mori217,4,1,0.25
AbSpectre,NMTotra,3,3,1.0
AbSpectre,OGYeet_,3,0,0.0
AbSpectre,RequitedZeus,4,3,0.75
AbSpectre,Ryan,3,0,0.0
AbSpectre,SCATHEW XD,8,6,0.75
AbSpectre,"Shuk""!",9,3,0.3333333333333333
AbSpectre,Slik,3,3,1.0
AbSpectre,SpicyShinobi,8,4,0.5
AbSpectre,Suduko,4,1,0.25
AbSpectre,TheRealDunion,4,1,0.25
AbSpectre,Yoky,7,4,0.5714285714285714
AbSpectre,bro.ro711,3,3,1.0
AbSpectre,enzo,3,3,1.0
AiRblock8,"Shuk""!",5,3,0.6
AiRblock8,Ziyor,5,3,0.6
AiRblock8,bro.ro711,5,3,0.6
Alpha_762,Ay_Ant,8,6,0.75
Alpha_762,Beanzs2K,3,0,0.0
Alpha_762,CoolNerdGames,10,9,0.9
Alpha_762,Firefi6ht_RL,7,1,0.14285714285714285
Alpha_762,FriendlyFennec,13,7,0.5384615384615384
Alpha_762,MerculesMilenial,3,3,1.0
Alpha_762,NMTotra,12,6,0.5
Alpha_762,OGYeet_,5,3,0.6
Alpha_762,Preet,3,3,1.0
Alpha_762,Recktals,6,0,0.0
Alpha_762,Ryan,8,4,0.5
Alpha_762,SpicyShinobi,5,3,0.6
Alpha_762,Suduko,4,3,0.75
Alpha_762,TheRealDunion,5,3,0.6
Alpha_762,TheRyan.,4,3,0.75
Alpha_762,bro.ro711,7,3,0.42857142857142855
Alpha_762,chewy_chungus69,13,9,0.6923076923076923
Alpha_762,enzo,7,3,0.42857142857142855
Alpha_762,faBBenWh  y,13,9,0.6923076923076923
Alpha_762,qFoal,4,3,0.75
Alpha_762,ski11acam,4,3,0.75
Alpha_762,tjdubya21,18,9,0.5
Ascended!,Bloom,11,5,0.45454545454545453
Ascended!,Boydardi,8,6,0.75
Ascended!,Car-.-,15,8,0.5333333333333333
Ascended!,Cimino,4,1,0.25
Ascended!,DeltaJRomeo_,3,3,1.0
Ascended!,FBISSsosa,4,3,0.75
Ascended!,FuzzoL,5,2,0.4
Ascended!,Geo,5,2,0.4
Ascended!,Goose,31,21,0.6774193548387096
Ascended!,Groovy,3,3,1.0
Ascended!,JCISK,22,10,0.45454545454545453
Ascended!,Kyle$,8,6,0.75
Ascended!,Maples,16,5,0.3125
Ascended!,MtnDru,7,6,0.8571428571428571
Ascended!,Nem,11,7,0.6363636363636364
Ascended!,TSabin.,23,13,0.5652173913043478
Ascended!,Trickter02,5,2,0.4
Ascended!,Yoky,10,5,0.5
Ascended!,bass!,1,0,0.0
