player,teammate,games_together,wins_together,losses_together,win_rate
A Simple Femgirl,Boydardi,9,3,6,0.3333333333333333
A Simple Femgirl,Chow_Mitch,4,1,3,0.25
A Simple Femgirl,CoolNerdGames,9,3,6,0.3333333333333333
A Simple Femgirl,Creig1013,4,1,3,0.25
A Simple Femgirl,EricTheHispanic,5,2,3,0.4
A Simple Femgirl,Fastmadcow,5,2,3,0.4
A Simple Femgirl,Firefi6ht_RL,5,2,3,0.4
A Simple Femgirl,Recktals,5,2,3,0.4
A Simple Femgirl,SCATHEW XD,4,1,3,0.25
A Simple Femgirl,SpicyShinobi,5,2,3,0.4
A Simple Femgirl,bro.ro711,9,3,6,0.3333333333333333
A Simple Femgirl,brokeboy,5,2,3,0.4
A Simple Femgirl,enjay,4,1,3,0.25
A Simple Femgirl,enzo,5,2,3,0.4
A Simple Femgirl,zoarnyrl,4,1,3,0.25
AbSpectre,Ay_Ant,10,6,4,0.6
AbSpectre,Car-.-,4,3,1,0.75
AbSpectre,CoolNerdGames,5,2,3,0.4
AbSpectre,Creig1013,4,1,3,0.25
AbSpectre,Deciding,11,2,9,0.18181818181818182
AbSpectre,Eclipsed Frog,8,6,2,0.75
AbSpectre,EricTheHispanic,8,2,6,0.25
AbSpectre,Firefi6ht_RL,4,1,3,0.25
AbSpectre,Geo,4,3,1,0.75
AbSpectre,Groovy,3,3,0,1.0
AbSpectre,Preet,4,1,3,0.25
AbSpectre,RequitedZeus,4,1,3,0.25
AbSpectre,SCATHEW XD,5,2,3,0.4
AbSpectre,SpicyShinobi,3,3,0,1.0
AbSpectre,Tylanz,4,3,1,0.75
AbSpectre,chewy_chungus69,3,3,0,1.0
AiRblock8,CoolNerdGames,5,3,2,0.6
AiRblock8,enzo,5,3,2,0.6
Alpha_762,Beanzs2K,9,6,3,0.6666666666666666
Alpha_762,EricTheHispanic,5,3,2,0.6
Alpha_762,Firefi6ht_RL,24,18,6,0.75
Alpha_762,FriendlyFennec,6,0,6,0.0
Alpha_762,MerculesMilenial,8,3,5,0.375
Alpha_762,NMTotra,3,0,3,0.0
Alpha_762,Recktals,3,3,0,1.0
Alpha_762,SpicyShinobi,10,9,1,0.9
Alpha_762,TheRealDunion,3,0,3,0.0
Alpha_762,TheRyan.,6,3,3,0.5
Alpha_762,chewy_chungus69,7,1,6,0.14285714285714285
Alpha_762,tjdubya21,24,16,8,0.6666666666666666
Ascended!,Car-.-,3,3,0,1.0
Ascended!,FBISSsosa,17,11,6,0.6470588235294118
Ascended!,Goose,29,12,17,0.41379310344827586
Ascended!,ItsDaaes,8,2,6,0.25
Ascended!,JCISK,5,2,3,0.4
Ascended!,Maples,31,21,10,0.6774193548387096
Ascended!,Mateo,16,11,5,0.6875
Ascended!,MtnDru,9,5,4,0.5555555555555556
Ascended!,Nem,1,1,0,1.0
Ascended!,Yoky,3,0,3,0.0
Ascended!,bass!,15,8,7,0.5333333333333333
Ascended!,brokeboy,6,4,2,0.6666666666666666
Ascended!,ko!,8,3,5,0.375
Ascended!,nIMBUSXNZ^^,18,9,9,0.5
Ascended!,shack house,15,8,7,0.5333333333333333
Ascended!,sly,3,3,0,1.0
Ay_Ant,AbSpectre,10,6,4,0.6
Ay_Ant,Beanzs2K,13,6,7,0.46153846153846156
Ay_Ant,Deciding,3,0,3,0.0
Ay_Ant,Eclipsed Frog,7,3,4,0.42857142857142855
Ay_Ant,Firefi6ht_RL,5,2,3,0.4
Ay_Ant,FriendlyFennec,29,11,18,0.3793103448275862
Ay_Ant,Hedmarkers,3,3,0,1.0
Ay_Ant,Infantryboyz09,3,0,3,0.0
Ay_Ant,Memento Mori217,5,2,3,0.4
Ay_Ant,OGYeet_,14,5,9,0.35714285714285715
Ay_Ant,Preet,11,6,5,0.5454545454545454
Ay_Ant,RequitedZeus,5,2,3,0.4
Ay_Ant,"Shuk""!",6,6,0,1.0
Ay_Ant,Slik,3,3,0,1.0
Ay_Ant,SpicyShinobi,9,5,4,0.5555555555555556
Ay_Ant,Suduko,3,3,0,1.0
Ay_Ant,chewy_chungus69,20,8,12,0.4
Ay_Ant,dray (learning controller,4,3,1,0.75
Ay_Ant,enzo,7,4,3,0.5714285714285714
Ay_Ant,qFoal,9,4,5,0.4444444444444444
Ay_Ant,ski11acam,7,1,6,0.14285714285714285
Ay_Ant,tjdubya21,4,3,1,0.75
Beanzs2K,Alpha_762,9,6,3,0.6666666666666666
Beanzs2K,Ay_Ant,13,6,7,0.46153846153846156
Beanzs2K,EricTheHispanic,5,3,2,0.6
Beanzs2K,Firefi6ht_RL,5,3,2,0.6
Beanzs2K,FriendlyFennec,7,4,3,0.5714285714285714
Beanzs2K,NMTotra,3,3,0,1.0
Beanzs2K,OGYeet_,5,2,3,0.4
Beanzs2K,RequitedZeus,4,1,3,0.25
Beanzs2K,"Shuk""!",5,3,2,0.6
Beanzs2K,SpicyShinobi,12,7,5,0.5833333333333334
Beanzs2K,TheRealDunion,10,6,4,0.6
Beanzs2K,faBBenWh  y,8,6,2,0.75
Beanzs2K,tjdubya21,8,6,2,0.75
Bloom,Car-.-,8,6,2,0.75
Bloom,Goose,9,6,3,0.6666666666666666
Bloom,Groovy,3,0,3,0.0
Bloom,JCISK,5,3,2,0.6
Bloom,Maples,8,6,2,0.75
Bloom,Yoky,5,3,2,0.6
Bloom,bass!,4,1,3,0.25
Bloom,ko!,11,4,7,0.36363636363636365
Bloom,nIMBUSXNZ^^,3,3,0,1.0
Bloom,shack house,5,3,2,0.6
Bloom,sly,3,3,0,1.0
Bluegy,Boydardi,4,3,1,0.75
Bluegy,Fastmadcow,7,3,4,0.42857142857142855
Bluegy,"Shuk""!",3,0,3,0.0
Bluegy,Siem,6,0,6,0.0
Bluegy,enjay,4,3,1,0.75
Bluegy,zoarnyrl,4,3,1,0.75
Boydardi,A Simple Femgirl,9,3,6,0.3333333333333333
Boydardi,Bluegy,4,3,1,0.75
Boydardi,Car-.-,5,3,2,0.6
Boydardi,CoolNerdGames,5,2,3,0.4
Boydardi,DeltaJRomeo_,5,3,2,0.6
Boydardi,Eclipsed Frog,5,2,3,0.4
Boydardi,FBISSsosa,11,5,6,0.45454545454545453
Boydardi,Faith,3,0,3,0.0
Boydardi,Fastmadcow,13,6,7,0.46153846153846156
Boydardi,FuzzoL,8,2,6,0.25
Boydardi,Goose,14,8,6,0.5714285714285714
Boydardi,JCISK,4,1,3,0.25
Boydardi,Kyle$,8,2,6,0.25
Boydardi,Maples,1,0,1,0.0
Boydardi,MtnDru,8,6,2,0.75
Boydardi,SCATHEW XD,8,2,6,0.25
Boydardi,"Shuk""!",7,1,6,0.14285714285714285
Boydardi,Siem,4,1,3,0.25
Boydardi,Tylanz,8,6,2,0.75
Boydardi,Yoky,11,2,9,0.18181818181818182
Boydardi,brokeboy,1,0,1,0.0
Boydardi,enjay,4,3,1,0.75
Boydardi,ko!,1,0,1,0.0
Boydardi,nIMBUSXNZ^^,10,4,6,0.4
Boydardi,shack house,5,1,4,0.2
Boydardi,sly,9,2,7,0.2222222222222222
Boydardi,x0ffe,4,1,3,0.25
Boydardi,xMoNsTeRMaRiO,4,1,3,0.25
Boydardi,zoarnyrl,14,4,10,0.2857142857142857
Captain Wolfer,CoolNerdGames,3,3,0,1.0
Captain Wolfer,Deciding,3,3,0,1.0
Captain Wolfer,Eclipsed Frog,13,8,5,0.6153846153846154
Captain Wolfer,EricTheHispanic,8,6,2,0.75
Captain Wolfer,FriendlyFennec,14,6,8,0.42857142857142855
Captain Wolfer,Memento Mori217,3,3,0,1.0
Captain Wolfer,MerculesMilenial,3,0,3,0.0
Captain Wolfer,NMTotra,3,0,3,0.0
Captain Wolfer,Preet,9,6,3,0.6666666666666666
Captain Wolfer,RyanZeBlock,5,3,2,0.6
Captain Wolfer,"Shuk""!",5,3,2,0.6
Captain Wolfer,Suduko,5,2,3,0.4
Captain Wolfer,TheRealDunion,16,10,6,0.625
Captain Wolfer,Yoky,5,2,3,0.4
Captain Wolfer,chewy_chungus69,12,8,4,0.6666666666666666
Captain Wolfer,enzo,26,16,10,0.6153846153846154
Captain Wolfer,faBBenWh  y,5,2,3,0.4
Captain Wolfer,qFoal,4,3,1,0.75
Captain Wolfer,tjdubya21,8,6,2,0.75
Car-.-,AbSpectre,4,3,1,0.75
Car-.-,Ascended!,3,3,0,1.0
Car-.-,Bloom,8,6,2,0.75
Car-.-,Boydardi,5,3,2,0.6
Car-.-,CoolNerdGames,4,3,1,0.75
Car-.-,Creig1013,5,3,2,0.6
Car-.-,DeltaJRomeo_,5,3,2,0.6
Car-.-,Eclipsed Frog,4,3,1,0.75
Car-.-,EricTheHispanic,8,4,4,0.5
Car-.-,FBISSsosa,5,3,2,0.6
Car-.-,Faith,4,3,1,0.75
Car-.-,Fastmadcow,9,5,4,0.5555555555555556
Car-.-,Germ.,4,3,1,0.75
Car-.-,Goose,13,6,7,0.46153846153846156
Car-.-,ItsDaaes,5,3,2,0.6
Car-.-,JCISK,3,3,0,1.0
Car-.-,Maples,8,3,5,0.375
Car-.-,MtnDru,7,1,6,0.14285714285714285
Car-.-,No_Walt,4,3,1,0.75
Car-.-,Recktals,10,5,5,0.5
Car-.-,Ryan,4,1,3,0.25
Car-.-,"Shuk""!",5,3,2,0.6
Car-.-,TSabin.,5,3,2,0.6
Car-.-,Tylanz,5,3,2,0.6
Car-.-,bro.ro711,4,3,1,0.75
Car-.-,ko!,3,0,3,0.0
Car-.-,nIMBUSXNZ^^,12,6,6,0.5
Car-.-,shack house,14,9,5,0.6428571428571429
Car-.-,sly,10,7,3,0.7
Chow_Mitch,A Simple Femgirl,4,1,3,0.25
Chow_Mitch,Creig1013,4,1,3,0.25
Chow_Mitch,EricTheHispanic,14,2,12,0.14285714285714285
Chow_Mitch,Fastmadcow,4,3,1,0.75
Chow_Mitch,Firefi6ht_RL,4,1,3,0.25
Chow_Mitch,Germ.,4,1,3,0.25
Chow_Mitch,MerculesMilenial,4,1,3,0.25
Chow_Mitch,Suduko,4,3,1,0.75
