Discord,League,Ballchasing,TRN,Team,Traded,TradeDate,TradedTeam,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
Rob Belicheck,S,https://ballchasing.com/player/steam/76561199054741424,https://rocketleague.tracker.network/rocket-league/profile/epic/rǑb/overview,Galactic Empire,N,,,Y,Rob Belicheck,steam,76561199054741424,Rob Belicheck,epic,ce0ee457542b4b98a4428d09cde70975
Othos,S,https://ballchasing.com/player/steam/76561198239409890,https://rocketleague.tracker.network/rocket-league/profile/epic/OthosRL/overview,Bezos Bros,N,,,Y,Othos,steam,76561198239409890,,,
Goose,S,https://ballchasing.com/player/epic/f59ba2e6bbfa4a29a166d81e74f75933,https://rocketleague.tracker.network/rocket-league/profile/epic/Goose%20Cowboy/overview,Vectors,N,,,Y,Goose,epic,f59ba2e6bbfa4a29a166d81e74f75933,,,
Fyshi,S,https://ballchasing.com/player/steam/76561199417435308,https://rocketleague.tracker.network/rocket-league/profile/epic/xFyshix/mmr?playlist=11,Megaminds,N,,,Y,Fyshi,steam,76561199417435308,xFyshix,epic,4c64c39a2aab43359a76e2f4fe1d1a4e
FBISSsosa,S,https://ballchasing.com/player/epic/dd44fe17bae8474083000a457d44d588,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198364633693/overview,Big Pharma,N,,,Y,FBISSsosa,epic,dd44fe17bae8474083000a457d44d588,,,
Faith,S,https://ballchasing.com/player/steam/76561198451159908,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198451159908/overview,Tai Lung Leopards,N,,,Y,Faith,steam,76561198451159908,,,
Condra,S,https://ballchasing.com/player/steam/76561198866778939 ,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198866778939/overview,Ginyu Force,N,,,Y,Condra,steam,76561198866778939,condrabunsha,epic,8ee8bf77b5bd4eb9a90fae8f34e47557
bass,S,https://ballchasing.com/player/steam/76561198807499766,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198807499766/overview,King Koba,N,,,Y,bass,steam,76561198807499766,,,
Fluffy,S,https://ballchasing.com/player/steam/76561198175721866,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198175721866/overview,Galactic Empire,N,,,Y,Fluffy,steam,76561198175721866,,,
Kyle.,S,https://ballchasing.com/player/steam/76561199032836806,https://rocketleague.tracker.network/rocket-league/profile/epic/OBSC%20Rain/overview,King Koba,N,,,Y,Kyle.,steam,76561199032836806,,,
LikeWisse,S,https://ballchasing.com/player/steam/76561198985500492,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198985500492/overview,Big Pharma,N,,,Y,LikeWisse,steam,76561198985500492,,,
Dolphino,S,https://ballchasing.com/player/steam/76561198351600374,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198351600374/overview,Tai Lung Leopards,N,,,Y,Dolphino,steam,76561198351600374,,,
Ezkra,S,https://ballchasing.com/player/steam/76561198242838482,https://rocketleague.tracker.network/rocket-league/profile/epic/EzkraGG/overview,Alternate,N,,,Y,Ezkra,steam,76561198242838482,,,
Maples,S,https://ballchasing.com/player/steam/76561198976624529,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198976624529/overview,Vectors,N,,,Y,Maples,steam,76561198976624529,,,
Vecim,S,https://ballchasing.com/player/steam/76561198419593415,https://rocketleague.tracker.network/rocket-league/profile/epic/Vecum/mmr?playlist=11,Big Pharma,N,,,Y,Vecim,steam,76561198419593415,,,
Flykid,S,https://ballchasing.com/player/epic/6e24059800184b5cb08b2baa39841e19,https://rocketleague.tracker.network/rocket-league/profile/epic/Flykid-/overview,Ginyu Force,N,,,Y,Flykid,epic,6e24059800184b5cb08b2baa39841e19,,,
Riot,S,https://ballchasing.com/player/steam/76561198094582481,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198094582481/overview,Bezos Bros,N,,,Y,Riot,steam,76561198094582481,,,
Dead guy,S,https://ballchasing.com/?player-name=Almost+dead+guy,https://rocketleague.tracker.network/rocket-league/profile/epic/almost%20dead%20guy/overview,King Koba,N,,,Y,Dead guy,epic,f0e376eab8714d169d14e9c217038e1b,,,
Trickter,A,https://ballchasing.com/?player-name=tricktr02,https://rocketleague.tracker.network/rocket-league/profile/epic/Trickter02/overview,Galactic Empire,N,,,Y,Trickter,steam,76561198354602962,,,
Lumity Somers,S,https://ballchasing.com/player/steam/76561198167151601,https://rocketleague.tracker.network/rocket-league/profile/epic/Lumitysomers/overview,Ginyu Force,N,,,Y,Lumity Somers,steam,76561198167151601,,,
Siem,S,https://ballchasing.com/player/steam/76561198358477673,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198358477673/overview,Vectors,N,,,Y,Siem,steam,76561198358477673,,,
rob,S,https://ballchasing.com/player/epic/740316dfc01a46ae9e3593662584b66c,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198087249907/overview,King Koba,N,,,Y,rob,epic,740316dfc01a46ae9e3593662584b66c,rob,steam,76561198087249907
Savagegnome,S,https://ballchasing.com/?player-name=savagegnomeRL,https://rocketleague.tracker.network/rocket-league/profile/epic/SavageGnome./overview,Galactic Empire,N,,,Y,Savagegnome,epic,65d79d10e993494a93b1933680d886bb,,,
Jxzo,S,https://ballchasing.com/player/steam/76561198297598502,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198297598502/overview,Tai Lung Leopards,N,,,Y,Jxzo,steam,76561198297598502,,,
nIMBUSXNZ^^,S,https://ballchasing.com/player/steam/76561198955848516,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198955848516/mmr?playlist=11,Bezos Bros,N,,,Y,nIMBUSXNZ^^,steam,76561198955848516,,,
takeeover,S,https://ballchasing.com/?player-name=takeeover,https://rocketleague.tracker.network/rocket-league/profile/epic/takeeover/overview,Ginyu Force,N,,,Y,takeeover,epic,16d5e151acd548fe8a5464a6ba9162d6,,,
Bloom.-,S,https://ballchasing.com/player/steam/76561198978096634,https://rocketleague.tracker.network/rocket-league/profile/epic/Bloom.-/overview,Megaminds,N,,,Y,Bloom.-,steam,76561198978096634,,,
Frowns,A,https://ballchasing.com/?player-name=Frownsrl,https://rocketleague.tracker.network/rocket-league/profile/epic/FrownsRL/overview,Vectors,N,,,Y,Frowns,epic,4c0ab046533d4f458266380be034743b,,,
